Title       Knowledge  Wealth  Glory  Comfort  Conquest  Protection  Compassion
activist            2       2      3        4         3           4           5
actor               1       4      5        3         1           2           3
artist              2       3      5        4         1           3           3
athlete             1       4      4        3         5           2           2
clergy              3       1      2        3         2           3           5
doctor              4       3      2        2         1           4           5
driver              1       5      4        3         4           2           1
engineer            5       3      4        2         1           4           3
farmer              1       1      2        4         3           5           4
fighter             2       3      4        3         5           4           1
historian           5       1      3        2         2           4           2
journalist          4       4      5        3         2           3           1
leader              1       3      4        3         5           4           2
merchant            2       5      3        4         1           4           2
musician            2       2      5        4         1           3           3
officer             2       1      2        3         4           3           5
scholar             5       3      4        1         1           2           2
scientist           5       4      3        1         1           3           2
soldier             2       1      3        1         5           3           4
villain             3       4      4        1         5           2           1
waiter              1       3      1        4         2           5           4
writer              3       3      4        5         1           2           3
